"ensembl_gene_rec","gene_name","d0_rc","d6_rc"
"ENSG00000000003.14","TSPAN6",1045,597
"ENSG00000000005.5","TNMD",2,NA
"ENSG00000000419.12","DPM1",1476,1377
"ENSG00000000457.13","SCYL3",376,196
"ENSG00000000460.16","C1orf112",307,266
"ENSG00000000938.12","FGR",41,15
"ENSG00000000971.15","CFH",20,41
"ENSG00000001036.13","FUCA2",1797,1620
"ENSG00000001084.12","GCLC",1080,728
"ENSG00000001167.14","NFYA",844,768
"ENSG00000001460.17","STPG1",191,182
"ENSG00000001461.16","NIPAL3",1098,924
"ENSG00000001497.16","LAS1L",1094,778
"ENSG00000001561.6","ENPP4",858,935
"ENSG00000001617.11","SEMA3F",1209,1405
"ENSG00000001626.15","CFTR",94,24
"ENSG00000001629.9","ANKIB1",1825,1692
"ENSG00000001630.16","CYP51A1",129,424
"ENSG00000001631.15","KRIT1",387,276
"ENSG00000002016.17","RAD52",223,370
"ENSG00000002079.14","MYH16",1,65
"ENSG00000002330.13","BAD",606,601
"ENSG00000002549.12","LAP3",1084,1027
"ENSG00000002587.9","HS3ST1",23,101
"ENSG00000002726.20","AOC1",680,234
"ENSG00000002745.12","WNT16",4,2
"ENSG00000002746.14","HECW1",105,51
"ENSG00000002822.15","MAD1L1",808,588
"ENSG00000002834.17","LASP1",7278,7966
"ENSG00000002919.14","SNX11",443,356
"ENSG00000002933.8","TMEM176A",794,370
"ENSG00000003056.7","M6PR",3286,3076
"ENSG00000003096.14","KLHL13",28,37
"ENSG00000003137.8","CYP26B1",55,78
"ENSG00000003147.18","ICA1",831,517
"ENSG00000003249.13","DBNDD1",603,642
"ENSG00000003393.14","ALS2",938,923
"ENSG00000003400.14","CASP10",638,663
"ENSG00000003402.19","CFLAR",2195,1624
"ENSG00000003436.15","TFPI",6,7
"ENSG00000003509.15","NDUFAF7",401,400
"ENSG00000003756.16","RBM5",1900,1482
"ENSG00000003987.13","MTMR7",12,10
"ENSG00000003989.17","SLC7A2",10,33
"ENSG00000004059.10","ARF5",2581,1390
"ENSG00000004139.13","SARM1",784,223
"ENSG00000004142.11","POLDIP2",2371,2242
"ENSG00000004399.12","PLXND1",3320,3969
"ENSG00000004455.16","AK2",3931,3507
"ENSG00000004468.12","CD38",13,35
"ENSG00000004478.7","FKBP4",8511,6348
"ENSG00000004487.16","KDM1A",2690,3335
"ENSG00000004534.14","RBM6",2206,2119
"ENSG00000004660.14","CAMKK1",523,107
"ENSG00000004700.15","RECQL",1258,1123
"ENSG00000004766.16","VPS50",441,332
"ENSG00000004776.12","HSPB6",446,358
"ENSG00000004777.18","ARHGAP33",1511,456
"ENSG00000004779.9","NDUFAB1",933,1230
"ENSG00000004799.7","PDK4",593,82
"ENSG00000004809.13","SLC22A16",NA,2
"ENSG00000004838.13","ZMYND10",43,47
"ENSG00000004846.16","ABCB5",46,2
"ENSG00000004864.13","SLC25A13",1436,773
"ENSG00000004866.20","ST7",817,445
"ENSG00000004897.11","CDC27",1213,1417
"ENSG00000004939.14","SLC4A1",3,4
"ENSG00000004948.14","CALCR",NA,6
